date,home_team,away_team,home_score,away_score,tournament,country,neutral,shootout_winner,first_shooter,match_outcome,home_elo_pre,away_elo_pre
1907-04-14,Belgium,Netherlands,1.0,3.0,Friendly,Belgium,False,,,Away Win,1507.9689141681397,1499.5874015284492
1907-04-21,Belgium,France,1.0,2.0,Friendly,Belgium,False,,,Away Win,1501.457877261592,1496.0059684280955
1907-05-05,Austria,Hungary,3.0,1.0,Friendly,Austria,False,,,Home Win,1501.2743678901027,1505.8694330437024
1907-05-09,Netherlands,Belgium,1.0,2.0,Friendly,Netherlands,False,,,Away Win,1506.0984384349968,1494.9852472236398
1907-10-06,Czechoslovakia,Hungary,5.0,3.0,Friendly,Bohemia,False,,,Home Win,1492.856199066195,1502.2089209791625
1907-11-03,Hungary,Austria,4.0,1.0,Friendly,Hungary,False,,,Home Win,1498.484624625841,1504.9348799546426
1908-02-15,Northern Ireland,England,1.0,3.0,British Home Championship,Ireland,False,,,Away Win,1336.6379550542836,1648.9963662377427
1908-03-07,Scotland,Wales,2.0,1.0,British Home Championship,Scotland,False,,,Home Win,1605.689920929906,1410.8993082247216
1908-03-08,Switzerland,France,1.0,2.0,Friendly,Switzerland,False,,,Away Win,1496.4377158753157,1502.4785984660477
1908-03-14,Northern Ireland,Scotland,0.0,5.0,British Home Championship,Ireland,False,,,Away Win,1332.0877846140781,1608.7871985029035
1908-03-16,Wales,England,1.0,7.0,British Home Championship,Wales,False,,,Away Win,1407.8020306517242,1653.546536677948
1908-03-29,Belgium,Netherlands,1.0,4.0,Friendly,Belgium,False,,,Away Win,1501.5319203972886,1499.551765261348
1908-04-02,Guernsey,Alderney,3.0,0.0,Muratti Vase,Jersey,True,,,Home Win,1549.2995070961927,1476.2794075758138
1908-04-04,Scotland,England,1.0,1.0,British Home Championship,Scotland,False,,,Draw,1614.0988038377825,1659.5815599702808
1908-04-05,Hungary,Czechoslovakia,5.0,2.0,Friendly,Hungary,False,,,Home Win,1502.169954172512,1496.5804954195164
